pure_titles,topic 1 
Reconstructed Convolution Module Based Look-Up Tables for Efficient Image Super-Resolution,machine_vision
Reconciling emergences: An information-theoretic approach to identify causal emergence in multivariate data,causal_inference
Reasoning with Language Model is Planning with World Model,natural_language_processing
Real-time Photorealistic Dynamic Scene Representation and Rendering with 4D Gaussian Splatting,machine_vision
Randomized Smoothing for Stochastic Optimization,optimization
Random Sharpness-Aware Minimization,optimization_for_deep_networks
Random Features for Large-Scale Kernel Machines,learning_theory
RAIN: Your Language Models Can Align Themselves without Finetuning,natural_language_processing
R3M: A Universal Visual Representation for Robot Manipulation,robotics
R3M: A Universal Visual Representation for Robot Manipulation,robotics
Query-Aware Quantization for Maximum Inner Product Search,optimization
QuaRot: Outlier-Free 4-Bit Inference in Rotated LLMs,natural_language_processing
QLLM: Accurate and Efficient Low-Bitwidth Quantization for Large Language Models,natural_language_processing
Q-DM: An Efficient Low-bit Quantized Diffusion Model,diffusion_based_models
Q-Diffusion: Quantizing Diffusion Models,diffusion_based_models
PSRR-MaxpoolNMS++: Fast Non-Maximum Suppression With Discretization and Pooling,machine_vision
Pseudoinverse-Guided Diffusion Models for Inverse Problems,diffusion_based_models
Pruner-Zero: Evolving Symbolic Pruning Metric from scratch for Large Language Models,deep_learning_architectures
Provable Acceleration of Heavy Ball beyond Quadratics for a Class of Polyak-Łojasiewicz Functions when the Non-Convexity is Averaged-Out,optimization
Prompt-aligned Gradient for Prompt Tuning,natural_language_processing
Prompt-aligned Gradient for Prompt Tuning,natural_language_processing
PromptAD: Learning Prompts with only Normal Samples for Few-Shot Anomaly Detection,natural_language_processing
Projection Regret: Reducing Background Bias for Novelty Detection via Diffusion Models,diffusion_based_models
Progressive Weight Pruning of Deep Neural Networks using ADMM,optimization_for_deep_networks
Probing the 3D Awareness of Visual Foundation Models,machine_vision
Probabilistically Robust Learning: Balancing Average- and Worst-case Performance,learning_theory
Probabilistic Numerical Method of Lines for Time-Dependent Partial Differential Equations,probabilistic_methods
Privacy for Free: How does Dataset Condensation Help Privacy?,privacy
Principled Reinforcement Learning with Human Feedback from Pairwise or K-wise Comparisons,reinforcement_learning
Pretraining Language Models with Human Preferences,natural_language_processing
Prefix-Tuning: Optimizing Continuous Prompts for Generation,natural_language_processing
Preference Ranking Optimization for Human Alignment,human-AI_interaction
"Preference Fine-Tuning of LLMs Should Leverage Suboptimal, On-Policy Data",natural_language_processing
Predictive Control Barrier Functions: Enhanced Safety Mechanisms for Learning-Based Control,safety_in_machine_learning
Predictive Control Barrier Functions for Online Safety Critical Control,safety_in_machine_learning
Predicting the drape of woven cloth using interacting particles,machine_learning_for_physical_sciences
Predicting Emergent Abilities with Infinite Resolution Evaluation,evaluation
Practical Region-level Attack against Segment Anything Models,safety_in_machine_learning
Power-aware Deep Learning Model Serving with μ-Serve,infrastructure
Positive-Unlabeled Learning With Label Distribution Alignment,bandits
Positive-Unlabeled Learning using Random Forests via Recursive Greedy Risk Minimization,bandits
Position-aware Graph Neural Networks,graph_neural_networks
Pose-NDF: Modeling Human Pose Manifolds with Neural Distance Fields,machine_vision
PoseBERT: A Generic Transformer Module for Temporal 3D Human Modeling,machine_vision
Portrait shadow manipulation,machine_vision
Population Synthesis as Scenario Generation for Simulation-based Planning under Uncertainty,other
Policy Optimization for Constrained MDPs with Provable Fast Global Convergence,reinforcement_learning
PIGEON: Predicting Image Geolocations,machine_vision
PI3D: Efficient Text-to-3D Generation with Pseudo-Image Diffusion,generative_models
Pessimistic Nonlinear Least-Squares Value Iteration for Offline Reinforcement Learning,reinforcement_learning
Performance-Efficiency Trade-off of Low-Precision Numerical Formats in Deep Neural Networks,deep_learning_architectures
PECAN: Leveraging Policy Ensemble for Context-Aware Zero-Shot Human-AI Coordination,reinforcement_learning
Pathfinder Discovery Networks for Neural Message Passing,graph_neural_networks
Path Integral Sampler: a stochastic control approach for sampling,bandits
Partition Speeds Up Learning Implicit Neural Representations Based on Exponential-Increase Hypothesis,machine_vision
Parting with Illusions about Deep Active Learning,active_learning
Particle Denoising Diffusion Sampler,diffusion_based_models
Parametric Resynthesis With Neural Vocoders,speech_and_audio
Parameter-Efficient Fine-Tuning for Medical Image Analysis: The Missed Opportunity,machine_learning_for_healthcare
PaGoDA: Progressive Growing of a One-Step Generator from a Low-Resolution Diffusion Teacher,generative_models
PaCa-ViT: Learning Patch-to-Cluster Attention in Vision Transformers,deep_learning_architectures
Out-of-distribution Detection with Deep Nearest Neighbors,machine_vision
Out-of-Distribution Detection with An Adaptive Likelihood Ratio on Informative Hierarchical VAE,probabilistic_methods
Out-of-distribution Detection Learning with Unreliable Out-of-distribution Sources,probabilistic_methods
Outlier Suppression+: Accurate quantization of large language models by equivalent and optimal shifting and scaling,optimization
Ordinal Depth Supervision for 3D Human Pose Estimation,machine_vision
Oracle-Efficient Pessimism: Offline Policy Optimization in Contextual Bandits,bandits
Optimal Stochastic Non-smooth Non-convex Optimization through Online-to-Non-convex Conversion,optimization
Optimal regimes for algorithm-assisted human decision-making,algorithmic_game_theory
Optimal Online Generalized Linear Regression with Stochastic Noise and Its Application to Heteroscedastic Bandits,bandits
Optimal Differentially Private Model Training with Public Data,privacy
Optimal and Differentially Private Data Acquisition: Central and Local Mechanisms,privacy
Open-Vocabulary SAM: Segment and Recognize Twenty-thousand Classes Interactively,machine_vision
Open-Vocabulary Point-Cloud Object Detection without 3D Annotation,machine_vision
Online Algorithms with Costly Predictions,online_learning
Online (Multinomial) Logistic Bandit: Improved Regret and Constant Computation Cost,bandits
One-2-3-45++: Fast Single Image to 3D Objects with Consistent Multi-View Generation and 3D Diffusion,generative_models
One Fits All: Power General Time Series Analysis by Pretrained LM,natural_language_processing
On the power of graph neural networks and the role of the activation function,graph_neural_networks
On the Minimax Regret for Online Learning with Feedback Graphs,online_learning
On the consistency of supervised learning with missing values,causal_inference
On the Connection Between MPNN and Graph Transformer,graph_neural_networks
On stochastic gradient and subgradient methods with adaptive steplength sequences,optimization
On Sparse Modern Hopfield Model,neuroscience_and_cognitive_science
On Pre-Training for Visuo-Motor Control: Revisiting a Learning-from-Scratch Baseline,reinforcement_learning
On Interpolating Experts and Multi-Armed Bandits,bandits
On Diffusion Modeling for Anomaly Detection,diffusion_based_models
On Computational Limits of Modern Hopfield Models: A Fine-Grained Complexity Analysis,neuroscience_and_cognitive_science
On Calibration of Modern Neural Networks,interpretability_and_explainability
OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models,optimization
Omni Aggregation Networks for Lightweight Image Super-Resolution,machine_vision
Octo: An Open-Source Generalist Robot Policy,robotics
Occlusion-Aware 3D Morphable Models and an Illumination Prior for Face Image Analysis,machine_vision
Objects With Lighting: A Real-World Dataset for Evaluating Reconstruction and Rendering for Object Relighting,machine_vision
ObjectNet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,machine_vision
Object-centric architectures enable efficient causal representation learning,causal_inference
Object Scene Representation Transformer,machine_vision
NTKCPL: Active Learning on Top of Self-Supervised Model by Estimating True Coverage,active_learning
not-MIWAE: Deep Generative Modelling with Missing not at Random Data,generative_models
Not All Tokens Are Equal: Human-centric Visual Analysis via Token Clustering Transformer,natural_language_processing
Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,deep_learning_architectures
Nonparametric Uncertainty Quantification for Single Deterministic Neural Network,probabilistic_methods
Noise or Signal: The Role of Image Backgrounds in Object Recognition,machine_vision
No-go Theorem for Acceleration in the Hyperbolic Plane,optimization
Neural Light Transport for Relighting and View Synthesis,generative_models
Neural Language of Thought Models,natural_language_processing
Neural Implicit Dictionary Learning via Mixture-of-Expert Training,deep_learning_architectures
Neural gradients are near-lognormal: improved quantized and sparse training,deep_learning_architectures
Neural collapse with unconstrained features,deep_learning_architectures
Neural Acoustic Context Field: Rendering Realistic Room Impulse Response With Neural Fields,speech_and_audio
Network Quantization with Element-wise Gradient Scaling,optimization
Negative Momentum for Improved Game Dynamics,algorithmic_game_theory
Negative Label Guided OOD Detection with Pretrained Vision-Language Models,machine_vision
"Negative curvature obstructs acceleration for geodesically convex optimization, even with exact first-order oracles",optimization
Nearly Minimax Optimal Reinforcement Learning for Linear Mixture Markov Decision Processes,reinforcement_learning
Naive automated machine learning,machine_learning_for_other_sciences_and_fields
MVSFormer++: Revealing the Devil in Transformer's Details for Multi-View Stereo,machine_vision
MVSFormer: Multi-View Stereo by Learning Robust Image Features and Temperature-based Depth,machine_vision
Multiview Stereo with Cascaded Epipolar RAFT,machine_vision
Multi-View Masked World Models for Visual Robotic Manipulation,robotics
Multitask Multimodal Prompted Training for Interactive Embodied Task Completion,human-AI_interaction
Multi-Scale Dense Networks for Resource Efficient Image Classification,machine_vision
Multiple paired forward and inverse models for motor control,robotics
Multi-Patch Prediction: Adapting LLMs for Time Series Representation Learning,natural_language_processing
Multi-label Classification under Uncertainty: A Tree-based Conformal Prediction Approach,bandits
Multi-Concept Customization of Text-to-Image Diffusion,generative_models
MQuAKE: Assessing Knowledge Editing in Language Models via Multi-Hop Questions,natural_language_processing
Motion-Zero: Zero-Shot Moving Object Control Framework for Diffusion-Based Video Generation,generative_models
MonoOcc: Digging into Monocular Semantic Occupancy Prediction,machine_vision
MOMENT: A Family of Open Time-series Foundation Models,other
MoEC: Mixture of Experts Implicit Neural Compression,generative_models
Modern graph neural networks do worse than classical greedy algorithms in solving combinatorial optimization problems like maximum independent set,graph_neural_networks
Modern Bayesian Experimental Design,bandits
Modeling communication and switching nonlinear dynamics in multi-region neural activity,neuroscience_and_cognitive_science
Mitigating Social Biases in Language Models through Unlearning,fairness
Mip-Splatting: Alias-Free 3D Gaussian Splatting,machine_vision
MIMO Radar for Advanced Driver-Assistance Systems and Autonomous Driving: Advantages and Challenges,robotics
MIDA: Multiple Imputation Using Denoising Autoencoders,other
Meta-Learning to Compositionally Generalize,learning_theory
Meta Graph Learning for Long-tail Recommendation,machine_learning_for_social_sciences
Memory-based Adapters for Online 3D Scene Perception,robotics
Median Optimal Treatment Regimes,causal_inference
Mechanistically analyzing the effects of fine-tuning on procedurally defined tasks,interpretability_and_explainability
Measuring the Intrinsic Dimension of Objective Landscapes,optimization
MCMC-driven learning,probabilistic_methods
Maximum Entropy Population Based Training for Zero-Shot Human-AI Coordination,reinforcement_learning
Maximum Entropy Heterogeneous-Agent Reinforcement Learning,reinforcement_learning
Maximum Common Subgraph Guided Graph Retrieval: Late and Early Interaction Networks,graph_neural_networks
Matching Anything by Segmenting Anything,machine_vision
Mastering Zero-Shot Interactions in Cooperative and Competitive Simultaneous Games,algorithmic_game_theory
Masked Motion Encoding for Self-Supervised Video Representation Learning,machine_vision
Masked Autoencoders Are Scalable Vision Learners,deep_learning_architectures
MapTracker: Tracking with Strided Memory Fusion for Consistent Vector HD Mapping,robotics
Mapping Sub-Second Structure in Mouse Behavior,neuroscience_and_cognitive_science
Making Harmful Behaviors Unlearnable for Large Language Models,fairness
Make-A-Shape: a Ten-Million-scale 3D Shape Model,generative_models
M3DM-NR: RGB-3D Noisy-Resistant Industrial Anomaly Detection via Multimodal Denoising,other
LVM-Med: Learning Large-Scale Self-Supervised Vision Models for Medical Imaging via Second-order Graph Matching,machine_learning_for_healthcare
LRANet: Towards Accurate and Efficient Scene Text Detection with Low-Rank Approximation Network,machine_vision
Low-Rank Tensor Function Representation for Multi-Dimensional Data Recovery,probabilistic_methods
Low-Light Image Enhancement with Wavelet-Based Diffusion Models,image_processing
Low Budget Active Learning via Wasserstein Distance: An Integer Programming Approach,active_learning
LoRAShear: Efficient Large Language Model Structured Pruning and Knowledge Recovery,optimization_for_deep_networks
Look-Up Table Compression for Efficient Image Restoration,machine_vision
Look-Up Table Compression for Efficient Image Restoration,machine_vision
Look Before You Leap: Unveiling the Power of GPT-4V in Robotic Vision-Language Planning,robotics
Locally Attentional SDF Diffusion for Controllable 3D Shape Generation,generative_models
Local Group Invariant Representations via Orbit Embeddings,machine_learning_for_physical_sciences
LLM Maybe LongLM: Self-Extend LLM Context Window Without Tuning,natural_language_processing
LLaMA: Open and Efficient Foundation Language Models,deep_learning_architectures
Llama Guard: LLM-based Input-Output Safeguard for Human-AI Conversations,human-AI_interaction
LLaGA: Large Language and Graph Assistant,natural_language_processing
LIV: Language-Image Representations and Rewards for Robotic Control,robotics
Linear-Time Probabilistic Solution of Boundary Value Problems,probabilistic_methods
LIMA: Less Is More for Alignment,deep_learning_architectures
Light diffusion in multi-layered translucent materials,machine_learning_for_physical_sciences
Leximin and utilitarian rules: A joint characterization,fairness
LeViT: a Vision Transformer in ConvNet’s Clothing for Faster Inference,deep_learning_architectures
Leveraging Diffusion-Based Image Variations for Robust Training on Poisoned Data,generative_models
Let's Verify Step by Step,machine_learning_for_other_sciences_and_fields
Less is More: Pay Less Attention in Vision Transformers,deep_learning_architectures
Least-to-Most Prompting Enables Complex Reasoning in Large Language Models,natural_language_processing
Learning-Rate-Free Learning by D-Adaptation,optimization
Learning-augmented Online Algorithm for Two-level Ski-rental Problem,online_learning
Learning Visual Predictive Models of Physics for Playing Billiards,machine_learning_for_physical_sciences
Learning Universal Policies via Text-Guided Video Generation,reinforcement_learning
Learning to Remove Refractive Distortions from Underwater Images,machine_vision
Learning to Poke by Poking: Experiential Learning of Intuitive Physics,reinforcement_learning
Learning to Learn with Generative Models of Neural Network Checkpoints,machine_learning_for_physical_sciences
Learning to Compare: Relation Network for Few-Shot Learning,few_shot_learning
Learning to Act from Actionless Videos through Dense Correspondences,reinforcement_learning
Learning Regions of Interest for Bayesian Optimization with Adaptive Level-Set Estimation,optimization
Learning Physics-Guided Face Relighting Under Directional Light,machine_learning_for_physical_sciences
Learning nonparametric latent causal graphs with unknown interventions,causal_inference
Learning Neural Constitutive Laws From Motion Observations for Generalizable PDE Dynamics,machine_learning_for_physical_sciences
Learning Multimodal Rewards from Rankings,reinforcement_learning
Learning Math Reasoning from Self-Sampled Correct and Partially-Correct Solutions,learning_theory
Learning Light-Weight Translation Models from Deep Transformer,natural_language_processing
Learning Layer-wise Equivariances Automatically using Gradients,deep_learning_architectures
Learning from Failure: De-biasing Classifier from Biased Classifier,fairness
Learning from Failure: De-biasing Classifier from Biased Classifier,fairness
Learning De-biased Representations with Biased Representations,fairness
LEADS: Learning Dynamical Systems that Generalize Across Environments,learning_theory
Latent State Models of Training Dynamics,learning_theory
